ADMINISTRADORES

Usuario: ALEXANDER | Contraseña: 123
Usuario: GERARDO   | Contraseña: 1234
Usuario: CAMILO    | Contraseña: 12345
Usuario: WILLIAM   | Contraseña: 123456

CLEANERS

DNI: 10000001 | Contraseña: 1
DNI: 10000010 | Contraseña: 10
DNI: 10000011 | Contraseña: 11 (CLEANER INHABILITADO)
DNI: 10000012 | Contraseña: 12 (CLEANER INHABILITADO)
DNI: 10000013 | Contraseña: 13
DNI: 10000014 | Contraseña: 14 (CLEANER INHABILITADO)
DNI: 10000015 | Contraseña: 15
DNI: 10000016 | Contraseña: 16 (CLEANER INHABILITADO)
DNI: 10000017 | Contraseña: 17
DNI: 10000018 | Contraseña: 18
DNI: 10000019 | Contraseña: 19 (CLEANER INHABILITADO)
DNI: 10000002 | Contraseña: 2
DNI: 10000020 | Contraseña: 20
DNI: 10000021 | Contraseña: 21 (CLEANER INHABILITADO)
DNI: 10000022 | Contraseña: 22
DNI: 10000023 | Contraseña: 23
DNI: 10000024 | Contraseña: 24
DNI: 10000025 | Contraseña: 25
DNI: 10000026 | Contraseña: 26
DNI: 10000027 | Contraseña: 27
DNI: 10000028 | Contraseña: 28 (CLEANER INHABILITADO)
DNI: 10000029 | Contraseña: 29
DNI: 10000003 | Contraseña: 3
DNI: 10000030 | Contraseña: 30 (CLEANER INHABILITADO)
DNI: 10000031 | Contraseña: 31
DNI: 10000032 | Contraseña: 32
DNI: 10000033 | Contraseña: 33 (CLEANER INHABILITADO)
DNI: 10000034 | Contraseña: 34
DNI: 10000035 | Contraseña: 35 (CLEANER INHABILITADO)
DNI: 10000036 | Contraseña: 36
DNI: 10000037 | Contraseña: 37
DNI: 10000038 | Contraseña: 38
DNI: 10000039 | Contraseña: 39
DNI: 10000004 | Contraseña: 4
DNI: 10000040 | Contraseña: 40 (CLEANER INHABILITADO)
DNI: 10000041 | Contraseña: 41
DNI: 10000042 | Contraseña: 42
DNI: 10000043 | Contraseña: 43 (CLEANER INHABILITADO)
DNI: 10000044 | Contraseña: 44
DNI: 10000045 | Contraseña: 45 (CLEANER INHABILITADO)
DNI: 10000046 | Contraseña: 46
DNI: 10000047 | Contraseña: 47 (CLEANER INHABILITADO)
DNI: 10000048 | Contraseña: 48
DNI: 10000049 | Contraseña: 49
DNI: 10000005 | Contraseña: 5 (CLEANER INHABILITADO)
DNI: 10000050 | Contraseña: 50 (CLEANER INHABILITADO)
DNI: 10000051 | Contraseña: 51
DNI: 10000052 | Contraseña: 52
DNI: 10000053 | Contraseña: 53
DNI: 10000054 | Contraseña: 54 (CLEANER INHABILITADO)
DNI: 10000055 | Contraseña: 55 (CLEANER INHABILITADO)
DNI: 10000056 | Contraseña: 56 (CLEANER INHABILITADO)
DNI: 10000057 | Contraseña: 57
DNI: 10000058 | Contraseña: 58 (CLEANER INHABILITADO)
DNI: 10000059 | Contraseña: 59
DNI: 10000006 | Contraseña: 6
DNI: 10000060 | Contraseña: 60
DNI: 10000061 | Contraseña: 61 (CLEANER INHABILITADO)
DNI: 10000062 | Contraseña: 62
DNI: 10000063 | Contraseña: 63 (CLEANER INHABILITADO)
DNI: 10000064 | Contraseña: 64
DNI: 10000065 | Contraseña: 65
DNI: 10000066 | Contraseña: 66 (CLEANER INHABILITADO)
DNI: 10000067 | Contraseña: 67
DNI: 10000068 | Contraseña: 68
DNI: 10000069 | Contraseña: 69 (CLEANER INHABILITADO)
DNI: 10000007 | Contraseña: 7 (CLEANER INHABILITADO)
DNI: 10000070 | Contraseña: 70 (CLEANER INHABILITADO)
DNI: 10000008 | Contraseña: 8 (CLEANER INHABILITADO)
DNI: 10000009 | Contraseña: 9
